model,MAE,RMSE,R2
Gradient Boosting (tuned),25.14795157055143,39.87833259348383,0.9505088926416714
Random Forest (baseline),26.894077338104836,43.924990278973645,0.9399550431559064
Random Forest (tuned),29.653337487831298,45.17861063301944,0.9364787653227372
Decision Tree (tuned),32.552666158677624,54.5008657007129,0.9075599885954214
Gradient Boosting (baseline),41.59631597441818,59.387005806381325,0.8902420346219626
Decision Tree (baseline),37.13604952490642,61.77350292553704,0.8812434295603037
